House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Smith Road,Zoe,Davies,43,Head,Married,Female,Illustrator,None,Christian
1,Smith Road,Colin,Davies,45,Husband,Married,Male,"Engineer, chemical",None,Christian
1,Smith Road,Kathleen,Davies,5,Daughter,NA,Female,Student,None,Christian
2,Smith Road,Daniel,Jones,89,Head,Married,Male,Retired Archaeologist,None,Christian
2,Smith Road,Denise,Jones,87,Wife,Married,Female,Retired Art gallery manager,None,Christian
3,Smith Road,Raymond,Barrett,39,Head,Single,Male,Tourist information centre manager,None,Christian
4,Smith Road,Brenda,Ward,66,Head,Married,Female,Unemployed,None,Christian
4,Smith Road,Francis,Ward,69,Husband,Married,Male,"Retired Therapist, sports",Blind,No Religion
5,Smith Road,Louise,Stanley,84,Head,Widowed,Female,Retired Sport and exercise psychologist,None,Christian
6,Smith Road,Mitchell,Hope,71,Head,Widowed,Male,Retired Contracting civil engineer,None,Christian
7,Smith Road,Sheila,Lloyd,81,Head,Married,Female,Retired Amenity horticulturist,None,Christian
7,Smith Road,Joseph,Lloyd,83,Husband,Married,Male,Retired Clinical molecular geneticist,None,Christian
8,Smith Road,Dean,Griffin,52,Head,Married,Male,Unemployed,None,Christian
8,Smith Road,Jemma,Griffin,47,Wife,Married,Female,Actuary,None,Christian
9,Smith Road,Brian,Lewis,27,Head,Single,Male,Warehouse manager,None,Christian
10,Smith Road,James,Holland,65,Head,Married,Male,"Engineer, production",None,No Religion
10,Smith Road,Molly,Holland,63,Wife,Married,Female,Prison officer,None,No Religion
10,Smith Road,Joan,Holland,36,Daughter,Single,Female,Materials engineer,None,No Religion
11,Smith Road,Christine,Miah,39,Head,Single,Female,Clothing/textile technologist,None,Christian
12,Smith Road,Janet,Matthews,42,Head,Married,Female,Historic buildings inspector/conservation officer,None,Christian
12,Smith Road,Max,Matthews,44,Husband,Married,Male,Energy engineer,None,Christian
